coors
"(388, 240)"
"(387, 239)"
"(382, 239)"
"(381, 238)"
"(376, 238)"
"(377, 239)"
"(376, 240)"
"(373, 240)"
"(372, 239)"
"(370, 239)"
"(369, 240)"
"(366, 240)"
"(375, 240)"
"(376, 241)"
"(385, 241)"
"(386, 242)"
"(395, 242)"
"(396, 243)"
"(395, 244)"
"(381, 244)"
"(380, 243)"
"(371, 243)"
"(370, 242)"
"(361, 242)"
"(360, 241)"
"(348, 241)"
"(347, 240)"
"(338, 240)"
"(337, 239)"
"(326, 239)"
"(325, 238)"
"(315, 238)"
"(314, 237)"
"(303, 237)"
"(302, 236)"
"(293, 236)"
"(292, 235)"
"(281, 235)"
"(280, 234)"
"(271, 234)"
"(270, 233)"
"(259, 233)"
"(258, 232)"
"(248, 232)"
"(247, 231)"
"(237, 231)"
"(236, 230)"
"(226, 230)"
"(225, 229)"
"(216, 229)"
"(215, 228)"
"(205, 228)"
"(204, 227)"
"(201, 227)"
"(200, 228)"
"(199, 227)"
"(188, 227)"
"(187, 226)"
"(174, 226)"
"(173, 225)"
"(161, 225)"
"(160, 224)"
"(147, 224)"
"(146, 223)"
"(144, 223)"
"(143, 224)"
"(140, 224)"
"(139, 223)"
